smiles,fitness,generation,selfies
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4ccoc34)sc(-c3scc4occc34)c2[SiH2]1,8.419099999999997,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][C][=C][O][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][O][C][=C][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][SiH2][Ring2][Ring1][S][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4cc[nH]c34)sc(-c3ncncn3)c2[SiH2]1,5.531500000000004,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][C][=C][NH1][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=Branch2][C][=N][C][=N][C][=N][Ring1][=Branch1][=C][Ring2][Ring1][O][SiH2][Ring2][Ring1][=C][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5cc[se]c45)c4ccoc34)sc(-c3scc4cc[nH]c34)c2C1,8.9406,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][Se][C][=Ring1][Branch2][Ring1][Branch1][=C][C][=C][O][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][C][=C][NH1][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][C][Ring2][Ring1][S][nop][nop][nop][nop][nop][nop]
c1csc(-c2sc(-c3sc(-c4scc5cc[se]c45)c4[se]ccc34)c3cc[nH]c23)c1,7.835300000000002,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][Se][C][=Ring1][Branch2][Ring1][Branch1][=C][Se][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][Branch2][C][=C][C][=C][S][Ring1][Branch1][=C][Ring2][Ring1][#Branch2][NH1][Ring2][Ring1][=N][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
c1coc(-c2sc(-c3sc(-c4scc5cc[se]c45)c4[nH]ccc34)c3ccoc23)c1,7.902800000000001,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][Se][C][=Ring1][Branch2][Ring1][Branch1][=C][NH1][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][Branch2][C][=C][C][=C][O][Ring1][Branch1][=C][Ring2][Ring1][#Branch2][O][Ring2][Ring1][=N][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4ccoc34)sc(-c3ncncn3)c2C1,7.5873000000000035,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][C][=C][O][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=Branch2][C][=N][C][=N][C][=N][Ring1][=Branch1][=C][Ring2][Ring1][O][C][Ring2][Ring1][=C][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
c1cc2c(-c3sc(-c4sc(-c5scc6cc[se]c56)c5[se]ccc45)c4cc[nH]c34)scc2[nH]1,8.316600000000001,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][Se][C][=Ring1][Branch2][Ring1][Branch1][=C][Se][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][NH1][C][=C][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][NH1][Ring2][Ring1][S][nop][nop][nop][nop][nop][nop]
C1=CCC2=C(c3cncc4nsnc34)SC(=C1)C1=c3ccsc3=C(c3scc4cc[nH]c34)[SH]21,5.929500000000003,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][NH1][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=C][C][=C][N][=C][C][=N][S][N][=C][Ring1][=Branch2][Ring1][Branch1][=C][Ring2][Ring1][O][C][Ring2][Ring1][P][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccsc45)c4occc34)sc(-c3scc4occc34)c2[SiH2]1,8.419099999999997,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][S][C][=Ring1][Branch2][Ring1][Branch1][=C][O][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=N][C][S][C][=C][O][C][=C][C][=Ring1][Branch2][Ring1][Branch1][=C][Ring2][Ring1][=N][SiH2][Ring2][Ring1][S][nop][nop][nop][nop][nop][nop]
C1=Cc2c(-c3sc(-c4scc5ccoc45)c4sccc34)sc(-c3ccccc3)c2C1,9.402299999999995,0,[C][=C][C][=C][Branch2][Ring1][O][C][S][C][Branch1][=N][C][S][C][=C][C][=C][O][C][=Ring1][Branch2][Ring1][Branch1][=C][S][C][=C][C][=Ring1][S][Ring1][Branch1][S][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Ring1][O][C][Ring2][Ring1][=C][nop][nop][nop][nop][nop][nop][nop][nop][nop][nop]
